run_name,status,model_name,image_size,learning_rate,batch_size,augmentation,run_mode,reduced_label_tag,num_classes,epochs,best_epoch,best_val_mdice_ex_bg,best_val_pixel_acc_ex_bg,best_val_miou_ex_bg,seconds,checkpoint_path,history_csv,per_class_csv,config_json
segformer_b0_res384_lr0.0003_bs16_weak_full_full_labels,completed,segformer_b0,384,0.0003,16,weak,full,full_labels,47,12,10,0.32127007842063904,0.6945711970329285,0.22724966704845428,4558.235166499973,outputs\task2\checkpoints\segformer_b0_res384_lr0.0003_bs16_weak_full_full_labels.pt,outputs\task2\histories\segformer_b0_res384_lr0.0003_bs16_weak_full_full_labels.csv,outputs\task2\per_class_metrics\segformer_b0_res384_lr0.0003_bs16_weak_full_full_labels.csv,outputs\task2\configs\segformer_b0_res384_lr0.0003_bs16_weak_full_full_labels.json
segformer_b0_res384_lr0.0003_bs16_strong_full_full_labels,completed,segformer_b0,384,0.0003,16,strong,full,full_labels,47,12,12,0.31656989455223083,0.6940568685531616,0.22228601574897766,4580.205908600008,outputs\task2\checkpoints\segformer_b0_res384_lr0.0003_bs16_strong_full_full_labels.pt,outputs\task2\histories\segformer_b0_res384_lr0.0003_bs16_strong_full_full_labels.csv,outputs\task2\per_class_metrics\segformer_b0_res384_lr0.0003_bs16_strong_full_full_labels.csv,outputs\task2\configs\segformer_b0_res384_lr0.0003_bs16_strong_full_full_labels.json
upernet_swin_tiny_res192_lr0.001_bs8_weak_full_full_labels,completed,upernet_swin_tiny,192,0.001,8,weak,full,full_labels,47,12,12,0.22404606640338898,0.5616999268531799,0.1483968049287796,4347.486758599989,outputs\task2\checkpoints\upernet_swin_tiny_res192_lr0.001_bs8_weak_full_full_labels.pt,outputs\task2\histories\upernet_swin_tiny_res192_lr0.001_bs8_weak_full_full_labels.csv,outputs\task2\per_class_metrics\upernet_swin_tiny_res192_lr0.001_bs8_weak_full_full_labels.csv,outputs\task2\configs\upernet_swin_tiny_res192_lr0.001_bs8_weak_full_full_labels.json
upernet_swin_tiny_res192_lr0.001_bs8_strong_full_full_labels,completed,upernet_swin_tiny,192,0.001,8,strong,full,full_labels,47,12,11,0.20190048217773438,0.5683925151824951,0.13348767161369324,4334.46466269996,outputs\task2\checkpoints\upernet_swin_tiny_res192_lr0.001_bs8_strong_full_full_labels.pt,outputs\task2\histories\upernet_swin_tiny_res192_lr0.001_bs8_strong_full_full_labels.csv,outputs\task2\per_class_metrics\upernet_swin_tiny_res192_lr0.001_bs8_strong_full_full_labels.csv,outputs\task2\configs\upernet_swin_tiny_res192_lr0.001_bs8_strong_full_full_labels.json
upernet_swin_tiny_res192_lr0.001_bs16_weak_full_full_labels,completed,upernet_swin_tiny,192,0.001,16,weak,full,full_labels,47,12,12,0.2394322156906128,0.6298233866691589,0.16202493011951447,3293.03641359997,outputs\task2\checkpoints\upernet_swin_tiny_res192_lr0.001_bs16_weak_full_full_labels.pt,outputs\task2\histories\upernet_swin_tiny_res192_lr0.001_bs16_weak_full_full_labels.csv,outputs\task2\per_class_metrics\upernet_swin_tiny_res192_lr0.001_bs16_weak_full_full_labels.csv,outputs\task2\configs\upernet_swin_tiny_res192_lr0.001_bs16_weak_full_full_labels.json
upernet_swin_tiny_res192_lr0.001_bs16_strong_full_full_labels,completed,upernet_swin_tiny,192,0.001,16,strong,full,full_labels,47,12,10,0.20976680517196655,0.5796701312065125,0.13869287073612213,3288.8569586999947,outputs\task2\checkpoints\upernet_swin_tiny_res192_lr0.001_bs16_strong_full_full_labels.pt,outputs\task2\histories\upernet_swin_tiny_res192_lr0.001_bs16_strong_full_full_labels.csv,outputs\task2\per_class_metrics\upernet_swin_tiny_res192_lr0.001_bs16_strong_full_full_labels.csv,outputs\task2\configs\upernet_swin_tiny_res192_lr0.001_bs16_strong_full_full_labels.json
upernet_swin_tiny_res192_lr0.0003_bs8_weak_full_full_labels,completed,upernet_swin_tiny,192,0.0003,8,weak,full,full_labels,47,12,11,0.2788982689380646,0.6467713117599487,0.19333207607269287,4338.6279676998965,outputs\task2\checkpoints\upernet_swin_tiny_res192_lr0.0003_bs8_weak_full_full_labels.pt,outputs\task2\histories\upernet_swin_tiny_res192_lr0.0003_bs8_weak_full_full_labels.csv,outputs\task2\per_class_metrics\upernet_swin_tiny_res192_lr0.0003_bs8_weak_full_full_labels.csv,outputs\task2\configs\upernet_swin_tiny_res192_lr0.0003_bs8_weak_full_full_labels.json
upernet_swin_tiny_res192_lr0.0003_bs8_strong_full_full_labels,completed,upernet_swin_tiny,192,0.0003,8,strong,full,full_labels,47,12,12,0.25446414947509766,0.6381791830062866,0.17334361374378204,4342.486709099961,outputs\task2\checkpoints\upernet_swin_tiny_res192_lr0.0003_bs8_strong_full_full_labels.pt,outputs\task2\histories\upernet_swin_tiny_res192_lr0.0003_bs8_strong_full_full_labels.csv,outputs\task2\per_class_metrics\upernet_swin_tiny_res192_lr0.0003_bs8_strong_full_full_labels.csv,outputs\task2\configs\upernet_swin_tiny_res192_lr0.0003_bs8_strong_full_full_labels.json
upernet_swin_tiny_res192_lr0.0003_bs16_weak_full_full_labels,completed,upernet_swin_tiny,192,0.0003,16,weak,full,full_labels,47,12,11,0.28935766220092773,0.6634459495544434,0.20238935947418213,3292.7610710000154,outputs\task2\checkpoints\upernet_swin_tiny_res192_lr0.0003_bs16_weak_full_full_labels.pt,outputs\task2\histories\upernet_swin_tiny_res192_lr0.0003_bs16_weak_full_full_labels.csv,outputs\task2\per_class_metrics\upernet_swin_tiny_res192_lr0.0003_bs16_weak_full_full_labels.csv,outputs\task2\configs\upernet_swin_tiny_res192_lr0.0003_bs16_weak_full_full_labels.json
upernet_swin_tiny_res192_lr0.0003_bs16_strong_full_full_labels,completed,upernet_swin_tiny,192,0.0003,16,strong,full,full_labels,47,12,10,0.26051583886146545,0.6350612640380859,0.17875730991363525,3288.6189753999934,outputs\task2\checkpoints\upernet_swin_tiny_res192_lr0.0003_bs16_strong_full_full_labels.pt,outputs\task2\histories\upernet_swin_tiny_res192_lr0.0003_bs16_strong_full_full_labels.csv,outputs\task2\per_class_metrics\upernet_swin_tiny_res192_lr0.0003_bs16_strong_full_full_labels.csv,outputs\task2\configs\upernet_swin_tiny_res192_lr0.0003_bs16_strong_full_full_labels.json
upernet_swin_tiny_res384_lr0.001_bs8_weak_full_full_labels,completed,upernet_swin_tiny,384,0.001,8,weak,full,full_labels,47,12,12,0.2487158179283142,0.6292723417282104,0.16942144930362701,11587.991427199915,outputs\task2\checkpoints\upernet_swin_tiny_res384_lr0.001_bs8_weak_full_full_labels.pt,outputs\task2\histories\upernet_swin_tiny_res384_lr0.001_bs8_weak_full_full_labels.csv,outputs\task2\per_class_metrics\upernet_swin_tiny_res384_lr0.001_bs8_weak_full_full_labels.csv,outputs\task2\configs\upernet_swin_tiny_res384_lr0.001_bs8_weak_full_full_labels.json
upernet_swin_tiny_res384_lr0.001_bs8_strong_full_full_labels,completed,upernet_swin_tiny,384,0.001,8,strong,full,full_labels,47,12,12,0.11893552541732788,0.4190138578414917,0.07429013401269913,11603.73599419999,outputs\task2\checkpoints\upernet_swin_tiny_res384_lr0.001_bs8_strong_full_full_labels.pt,outputs\task2\histories\upernet_swin_tiny_res384_lr0.001_bs8_strong_full_full_labels.csv,outputs\task2\per_class_metrics\upernet_swin_tiny_res384_lr0.001_bs8_strong_full_full_labels.csv,outputs\task2\configs\upernet_swin_tiny_res384_lr0.001_bs8_strong_full_full_labels.json
